X,Y,Name,State,Lat_27,Lon_27,Lat_84,Lon_84,Temp_C_ML,TempC_Min,TempC_Max,ResV_km3ML,ResV_km3Mn,ResV_km3Mx,PPotMWe_Mn,PPotMWeP95,PPotMWeP5
-144.0363,69.2998,Okpilak Springs,AK,69.30000000000,-144.03330000000,69.29980000000,-144.03630000000,"85","80","90",1.30000000000,0.30000000000,7.50000000000,2.00000000000,0.50000000000,4.30000000000
-155.0552,67.2661,Reed River Hot Spring,AK,67.26650000000,-155.05220000000,67.26610000000,-155.05520000000,"100","100","105",1.50000000000,0.40000000000,8.80000000000,4.50000000000,1.20000000000,9.70000000000
-156.7693,66.357,Upper Division Hot Spring,AK,66.35740000000,-156.76640000000,66.35700000000,-156.76930000000,"110","105","120",1.70000000000,0.40000000000,10.00000000000,7.00000000000,1.80000000000,15.50000000000
-150.8488,66.3421,Kanuti,AK,66.34250000000,-150.84600000000,66.34210000000,-150.84880000000,"105","100","110",1.60000000000,0.40000000000,9.20000000000,5.30000000000,1.40000000000,11.50000000000
-149.5558,66.2189,Dall Hot Spring,AK,66.21920000000,-149.55300000000,66.21890000000,-149.55580000000,"95","85","105",1.40000000000,0.30000000000,8.80000000000,3.50000000000,0.90000000000,7.80000000000
-157.1196,66.1495,South,AK,66.15000000000,-157.11670000000,66.14950000000,-157.11960000000,"85","70","90",1.30000000000,0.30000000000,7.50000000000,1.70000000000,0.40000000000,3.90000000000
-150.5825,65.9835,Lower Ray River,AK,65.98390000000,-150.57970000000,65.98350000000,-150.58250000000,"80","80","95",1.20000000000,0.30000000000,7.90000000000,2.10000000000,0.50000000000,4.60000000000
-150.9228,65.9616,Ray River,AK,65.96200000000,-150.92000000000,65.96160000000,-150.92280000000,"80","75","85",1.20000000000,0.30000000000,7.10000000000,1.50000000000,0.40000000000,3.20000000000
-151.6448,65.869,Ishtalitna Hot Spring,AK,65.86940000000,-151.64200000000,65.86900000000,-151.64480000000,"105","85","110",1.60000000000,0.30000000000,9.20000000000,4.50000000000,1.10000000000,10.00000000000
-164.7127,65.8564,Serpentine (Arctic) Springs,AK,65.85700000000,-164.70970000000,65.85640000000,-164.71270000000,"145","105","155",2.20000000000,0.40000000000,12.90000000000,17.30000000000,3.90000000000,40.20000000000
-151.2388,65.8098,Kilo,AK,65.81020000000,-151.23610000000,65.80980000000,-151.23880000000,"75","75","95",1.10000000000,0.30000000000,7.90000000000,1.80000000000,0.20000000000,2.10000000000
